,Igbo,English
0,dị ka,as
1,m,I
2,ya,his
3,na,that
4,enye,he
5,bụ,was
6,n’ihi na,for
7,ụfọdụ,on
8,ma ọ bụrụ na,are
9,ọrụ,with
10,ha,they
11,ịbụ,be
12,na,at
13,otu,one
14,nwere,have
15,a,this
16,si,from
17,site,by
18,na-ekpo ọkụ,hot
19,okwu,word
20,ma,but
21,ihe,what
22,ụfọdụ,some
23,bụ,is
24,ya,it
25,ị,you
26,ma ọ bụ,or
27,nwere,had
28,na,the
29,nke,of
30,na-,to
31,na,and
32,a,a
33,na,in
34,anyị,we
35,ike,can
36,si,out
37,ọzọ,other
38,ndị,were
39,nke,which
40,eme,do
41,ha,their
42,oge,time
43,ma ọ bụrụ na,if
44,ekpe,will
45,otú,how
46,kwuru,said
47,ihe,an
48,ọ bụla,each
49,ịgwa,tell
50,ke,does
51,set,set
52,atọ,three
53,chọrọ,want
54,ikuku,air
55,ọma,well
56,na-,also
57,obere,small
58,njedebe,end
59,tinye,put
60,n’ụlọ,home
61,na-agụ,read
62,aka,hand
63,ọdụ ụgbọ mmiri,port
64,nnukwu,large
65,asụpe,spell
66,tinye,add
67,ọbụna,even
68,ala,land
69,ebe a,here
70,ana,must
71,nnukwu,big
72,elu,high
73,dị,such
74,na-eso,follow
75,eme,act
76,ya mere,why
77,ịjụ,ask
78,ndị ikom,men
79,mgbanwe,change
80,wee,went
81,ìhè,light
82,ụdị,kind
83,anya,off
84,mkpa,need
85,ụlọ,house
86,foto,picture
87,na-agbalị,try
88,anyị,us
89,ọzọ,again
90,anụmanụ,animal
91,ebe,point
92,nne,mother
93,ụwa,world
94,nso,near
95,ewu,build
96,onwe,self
97,ụwa,earth
98,nna,father
99,ọ bụla,any
